2019-09-12 18:40:14.362202	策略初始化完成
2019-09-12 18:40:14.362224	开始回放历史数据
Keep Low=> total_count=1, avg_price_diff=98, total_volume_a=24008.0, total_volume_b=151800.0
Keep Low=> total_count=1, avg_price_diff=95, total_volume_a=7253.0, total_volume_b=4677.0
Keep Low=> total_count=1, avg_price_diff=63, total_volume_a=571595.0, total_volume_b=1602046.0
Keep Low=> total_count=1, avg_price_diff=91, total_volume_a=465980.0, total_volume_b=154126.0
Keep Low=> total_count=1, avg_price_diff=84, total_volume_a=24893.0, total_volume_b=79198.0
Keep Low=> total_count=3, avg_price_diff=83, total_volume_a=2031686.0, total_volume_b=604135.0
Keep Low=> total_count=1, avg_price_diff=94, total_volume_a=773800.0, total_volume_b=168599.0
Keep Low=> total_count=3, avg_price_diff=90, total_volume_a=1533385.0, total_volume_b=273000.0
Keep Low=> total_count=10, avg_price_diff=86, total_volume_a=2456139.0, total_volume_b=1499065.0
Keep Low=> total_count=181, avg_price_diff=71, total_volume_a=28975656.0, total_volume_b=10275820.0
Keep Low=> total_count=75, avg_price_diff=85, total_volume_a=5026099.0, total_volume_b=2141498.0
Keep Low=> total_count=2, avg_price_diff=93, total_volume_a=298737.0, total_volume_b=102091.0
Keep Low=> total_count=15, avg_price_diff=91, total_volume_a=889506.0, total_volume_b=435873.0
Keep Low=> total_count=1, avg_price_diff=99, total_volume_a=8408.0, total_volume_b=2520.0
Keep Low=> total_count=2, avg_price_diff=96, total_volume_a=161188.0, total_volume_b=41467.0
Keep Low=> total_count=2, avg_price_diff=97, total_volume_a=108590.0, total_volume_b=77152.0
Keep Low=> total_count=1, avg_price_diff=98, total_volume_a=1086421.0, total_volume_b=44311.0
Keep Low=> total_count=1, avg_price_diff=99, total_volume_a=269615.0, total_volume_b=296112.0
Keep Low=> total_count=1, avg_price_diff=92, total_volume_a=304814.0, total_volume_b=77750.0
Keep Low=> total_count=1, avg_price_diff=96, total_volume_a=179208.0, total_volume_b=177664.0
Keep Low=> total_count=1, avg_price_diff=99, total_volume_a=114237.0, total_volume_b=6394.0
Keep Low=> total_count=1, avg_price_diff=93, total_volume_a=92860.0, total_volume_b=122210.0
Keep Low=> total_count=1, avg_price_diff=98, total_volume_a=14200.0, total_volume_b=333.0
Keep Low=> total_count=1, avg_price_diff=99, total_volume_a=31395.0, total_volume_b=47482.0
Keep Low=> total_count=1, avg_price_diff=88, total_volume_a=63296.0, total_volume_b=134655.0
Keep Low=> total_count=1, avg_price_diff=99, total_volume_a=56408.0, total_volume_b=34548.0
Keep Low=> total_count=3, avg_price_diff=91, total_volume_a=455302.0, total_volume_b=219980.0
Keep Low=> total_count=1, avg_price_diff=97, total_volume_a=417976.0, total_volume_b=312798.0
